num,charName,00,01,02,03,04,05,06,07,08,09,0A,0B,0C,0D,0E,0F
47,TOON LINK,00111110,01001000,00001111,11100000,11110001,00010000,11111111,11101110,00000101,00111101,00111110,11010101,11110001,10101011,01000110,10001010
48,WOLF,11111100,01001000,00001111,11100000,11110001,00010000,11111111,11101110,00100101,11101001,10100010,00100101,01000101,10011000,10101001,10111001
49,VILLAGER,01000110,01001000,00001111,11100000,11110001,00010000,11111111,11101110,01111111,01110001,10111011,11110100,01000000,10100101,00101100,01001100
50,MEGA MAN,00111111,01001000,00001111,11100000,11110001,00010000,11111111,11101110,00011010,00101010,10000010,10111100,01110100,01101000,01001010,00111110
51,WII FIT TRAINER,11110001,01001000,00001111,11100000,11110001,00010000,11111111,11101110,11001101,00110010,01001101,10000100,10001101,01111100,11010101,01110000
52,ROSALINA,11101110,01001000,00001111,11100000,11110001,00010000,11111111,11101110,01011111,11001101,01001110,01110010,00010000,01001000,11110100,01001001
53,LITTLE MAC,11001101,01001000,00001111,11100000,11110001,00010000,11111111,11101110,11000001,11100011,10110100,10111011,01101100,11000101,00001111,11001000
54,GRENINJA,10110001,01001000,00001111,11100000,11110001,00010000,11111111,11101110,01111011,01110101,00010111,01001000,00110001,01001001,11000101,11001010
55,MII BRAWLER,00001000,01001000,00001111,11100000,11110001,00010000,11111111,11101110,00010101,10011100,00000001,00101001,00110001,01111110,00010000,00000101
56,MII SWORDFIGHTER,00001101,01001000,00001111,11100000,11110001,00010000,11111111,11101110,10001111,00100111,01011011,10011011,11100100,00000011,11110111,11101001
57,MII GUNNER,11110000,01001000,00001111,11100000,11110001,00010000,11111111,11101110,00000111,01110110,11010011,10010010,00000010,10010100,10100100,11011110
58,PALUTENA,01110010,01001000,00001111,11100000,11110001,00010000,11111111,11101110,01110111,11101101,01101010,10110100,10110111,00001010,11011011,10101101
59,PAC MAN,01000011,01001000,00001111,11100000,11110001,00010000,11111111,11101110,01000100,10000010,01111110,11000010,00010010,10111111,01011100,11011011
60,ROBIN,10101001,01001000,00001111,11100000,11110001,00010000,11111111,11101110,11100010,10101101,01001111,11101100,00010101,11101011,10010010,01101111
61,SHULK,00111111,01001000,00001111,11100000,11110001,00010000,11111111,11101110,10100011,11010011,10101000,01000110,10001111,00010100,11111111,11000010
62,BOWSER JR,11000011,01001000,00001111,11100000,11110001,00010000,11111111,11101110,01000110,10010111,10010010,00001111,01101100,10100100,11001010,00011111
63,DUCK HUNT,01001000,01001000,00001111,11100000,11110001,00010000,11111111,11101110,01101001,11010101,11010100,10101010,10101100,10100001,11100111,01001001
64,RYU,00100110,01001000,00001111,11100000,11110001,00010000,11111111,11101110,00111001,01011110,00010000,01101110,11010111,11010100,00110010,01010101
65,KEN,01001110,01001000,00001111,11100000,11110001,00010000,11111111,11101110,01001111,11010000,10101110,00110100,00010100,10101001,11100000,11110011
66,CLOUD,10101110,01001000,00001111,11100000,11110001,00010000,11111111,11101110,00010011,11110011,11101111,10101101,01000001,00101001,01001011,01111101
67,CORRIN,11111011,01001000,00001111,11100000,11110001,00010000,11111111,11101110,11111110,00110110,00010011,01100001,01010000,11011111,00100100,00001001
68,BAYONETTA,00010101,01001000,00001111,11100000,11110001,00010000,11111111,11101110,10100010,01000101,01000110,01011011,10011110,00100011,10010111,11110110
69,INKLING,11110101,01001000,00001111,11100000,11110001,00010000,11111111,11101110,11000000,10001111,10101101,11100110,00100111,11010010,11000100,01101111
70,RIDLEY,10000110,01001000,00001111,11100000,11110001,00010000,11111111,11101110,01011010,00100111,01111111,10011100,11001001,11100000,01011001,11000000
76,PIRANHA PLANT,11000110,01001000,00001111,11100000,11110001,00010000,11111111,11101110,10110111,00101011,10110100,11011000,11001011,00101111,10000111,01000011
